"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.040889210E-1,2.667099953E0,-5.961119533E-1,3.232105255E0
4.064840250E-1,2.851347208E0,-5.099703074E-1,3.177070379E0
4.088799110E-1,2.925524712E0,-4.740779996E-1,3.227319479E0
4.112757440E-1,2.746062994E0,-2.970091105E-1,3.602992773E0
4.136707960E-1,2.413161755E0,-7.417750359E-2,4.271188259E0
4.160659000E-1,1.975275040E0,2.321037948E-1,5.252544880E0
4.184618380E-1,1.505982757E0,6.320042610E-1,6.729813576E0
4.208576710E-1,1.029511929E0,1.053440213E0,8.415258408E0
4.232527230E-1,6.224330068E-1,1.517946839E0,1.029691410E1
4.256478270E-1,3.831507266E-1,1.917548299E0,1.184596729E1
4.280437130E-1,4.549354017E-1,2.159522533E0,1.269841099E1
4.304395980E-1,8.138588071E-1,2.250449657E0,1.276062393E1
4.328346500E-1,1.472483277E0,2.209771633E0,1.216690540E1
4.352297540E-1,2.300698996E0,2.051845312E0,1.115174961E1
4.376256400E-1,3.059522867E0,1.852941990E0,1.009591675E1
4.400215250E-1,3.675076485E0,1.709372640E0,9.142974854E0
4.424165770E-1,4.124927044E0,1.604088426E0,8.307580948E0
4.448116810E-1,4.555934429E0,1.556231976E0,7.354639530E0
4.472075670E-1,4.939085007E0,1.532303810E0,6.377769470E0
4.496034000E-1,5.087440014E0,1.537089467E0,5.556732178E0
4.519985040E-1,4.884049892E0,1.501197100E0,5.097011566E0
4.543936080E-1,4.412364960E0,1.352542996E0,4.996512890E0
4.567894940E-1,3.821038723E0,1.199402332E0,5.073082924E0
4.591853270E-1,3.241676569E0,1.063011408E0,5.051547527E0
4.615803790E-1,2.674278498E0,1.027119160E0,4.963013172E0
4.639754830E-1,2.209771633E0,1.022333503E0,4.752145767E0
4.663714210E-1,1.872084618E0,1.058225870E0,4.534399033E0
4.687672540E-1,1.486840129E0,1.132403374E0,4.364508629E0
4.711623060E-1,1.108475089E0,1.218544960E0,4.196712017E0
4.735574110E-1,7.516453862E-1,1.314257860E0,4.055535316E0
