"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.446212833E0,1.112486572E0,-1.126302841E1,1.705852661E0
2.456163833E0,1.130449219E0,-1.106349335E1,1.706152039E0
2.466115833E0,9.919871521E-1,-1.051323761E1,1.576072540E0
2.476066833E0,9.410929871E-1,-1.042177780E1,1.326840820E0
2.486018833E0,8.852590942E-1,-1.064705933E1,1.409918060E0
2.495969833E0,9.014254761E-1,-1.008991791E1,1.403481445E0
2.505920833E0,-1.258882141E0,2.407443695E0,2.096689911E0
2.515872833E0,-4.876858521E-1,5.954617310E0,1.748064880E0
2.525823833E0,1.555415497E0,-9.855505371E-1,9.011260986E-2
2.535774833E0,1.304986267E0,-3.353326721E0,2.474354553E0
2.545726833E0,8.800199890E-1,-5.858068085E0,3.633693695E0
2.555677833E0,-2.537223816E-1,-5.333858185E0,1.592837677E0
2.565628833E0,3.995191956E-1,-6.018833771E0,1.542841644E0
2.575580833E0,2.271676025E0,-8.168812866E0,2.444267120E0
2.585531833E0,2.614612885E0,-8.911867676E0,2.299518127E0
2.595483833E0,2.160457306E0,-8.912466431E0,1.050665131E0
2.605434833E0,1.313069458E0,-8.907377014E0,1.132245483E0
2.615385833E0,9.364526367E-1,-1.035666321E1,1.556313629E0
2.625337833E0,7.821235657E-1,-1.455139023E1,1.588945770E0
2.635288833E0,3.276536407E0,-2.098306549E1,4.011058960E0
2.645239833E0,5.608986053E0,-2.703587860E1,3.537144470E0
2.655191833E0,3.864962769E0,-1.419587952E1,7.065307617E-1
2.665142833E0,-7.858657837E-2,-1.321990906E1,2.045646057E0
2.675094833E0,-5.270539856E-1,-1.488250168E1,3.318149872E0
2.685045833E0,-8.202941895E-2,-1.562914902E1,2.799478455E0
2.694996833E0,9.279203796E-1,-1.442894485E1,1.659299469E0
2.704948833E0,2.487527161E0,-1.363828903E1,5.448669434E-2
2.714899833E0,2.203567657E0,-1.504656052E1,5.435197449E-1
2.724850833E0,1.717229004E0,-1.273177414E1,8.068222046E-1
2.734802833E0,4.995112610E-1,-9.592801666E0,1.044078827E0
2.744753833E0,-3.570075989E-1,-7.442822571E0,3.178789673E0
2.754704833E0,1.749861145E-1,-5.237458649E0,4.094285889E0
2.764656833E0,9.099577332E-1,-5.473068695E0,3.152893524E0
2.774607833E0,7.562274170E-1,-6.007008362E0,2.070943451E0
2.784559833E0,5.415737915E-1,-6.451284485E0,1.265618134E0
2.794510833E0,6.710545349E-1,-7.234755249E0,1.096020813E0
2.804461833E0,8.080197144E-1,-8.233029327E0,1.344504089E0
2.814413833E0,8.972341919E-1,-9.152567139E0,1.779948578E0
2.824364833E0,1.010099487E0,-1.011267059E1,1.962868195E0
