"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.982398708E0,1.732048187E0,-9.665101318E0,2.755919037E0
1.992350708E0,2.218386841E0,-8.990603943E0,2.487676849E0
2.002302708E0,2.699336700E0,-8.976982269E0,1.979483643E0
2.012254708E0,2.633922729E0,-9.041797485E0,1.795815582E0
2.022206708E0,2.491718445E0,-8.831035767E0,1.795516205E0
2.032158708E0,2.593656464E0,-8.643026733E0,1.665137329E0
2.042110708E0,2.765648804E0,-8.833430786E0,1.756297760E0
2.052062708E0,1.900597687E0,-8.865613861E0,2.117346954E0
2.062014708E0,1.788630524E0,-8.765172729E0,2.412084045E0
2.071966708E0,1.897304535E0,-8.638685760E0,2.169438629E0
2.081919708E0,2.227517853E0,-8.524323578E0,1.796564026E0
2.091871708E0,2.614463196E0,-8.426576843E0,1.605411530E0
2.101823708E0,2.801873474E0,-8.128995667E0,1.205592957E0
2.111775708E0,3.030897217E0,-7.665858765E0,1.026116180E0
2.121727708E0,2.906655579E0,-6.869664459E0,1.591041412E0
2.131679708E0,3.358416138E0,-6.111640778E0,8.388555908E-1
2.141631708E0,3.775748291E0,-6.581513672E0,8.445437622E-1
2.151583708E0,3.595972137E0,-8.988208923E0,1.273102570E0
2.161535708E0,2.397414551E0,-9.498946838E0,1.070723419E0
2.171487708E0,2.359543304E0,-9.087751923E0,1.213227081E0
2.181439708E0,2.936443634E0,-9.320368195E0,1.560953979E0
2.191391708E0,3.646866302E0,-9.122030640E0,1.184337158E0
2.201343708E0,4.638703766E0,-8.427175598E0,6.354286194E-1
2.211296708E0,4.789440308E0,-7.175927582E0,4.450245667E-1
2.221248708E0,4.571792908E0,-6.006858673E0,2.604583740E-1
2.231200708E0,4.553081818E0,-5.834267578E0,-1.359173584E-1
2.241152708E0,3.540886688E0,-6.691983948E0,-4.763095093E-1
2.251104708E0,2.357447662E0,-7.656877441E0,-1.010398865E-1
2.261056708E0,1.764081573E0,-9.550439758E0,8.577163696E-2
2.271008708E0,1.698667603E0,-1.293430298E1,-8.322692871E-2
2.280960708E0,1.438209229E0,-1.414378784E1,1.477427673E-1
2.290912708E0,1.609004059E0,-1.433344345E1,2.550695801E-1
2.300864708E0,1.975591736E0,-1.449465820E1,6.774911499E-1
2.310816708E0,2.595901794E0,-1.425815002E1,1.028211823E0
2.320768708E0,2.736010437E0,-1.381821487E1,9.095086670E-1
2.330720708E0,2.687960358E0,-1.254900421E1,1.364263000E0
2.340673708E0,2.886896667E0,-1.076067307E1,3.037184143E-1
2.350625708E0,2.632425842E0,-8.687783661E0,7.768844604E-2
2.360577708E0,2.483635254E0,-7.865992584E0,-1.371148682E-1
2.370529708E0,2.102527771E0,-8.169710999E0,8.491841125E-1
2.380481708E0,1.975442047E0,-8.302185516E0,1.254690857E0
2.390433708E0,2.020198975E0,-8.419840851E0,1.485810242E0
2.400385708E0,2.077679443E0,-8.745563507E0,2.033371582E0
2.410337708E0,2.121089172E0,-8.656798096E0,2.143841858E0
2.420289708E0,2.004631348E0,-8.378377075E0,1.835483093E0
2.430241708E0,1.725461884E0,-8.781638489E0,1.754950562E0
